id	sentence	id_tr	sentence_tr
1358785	Өскен соң, патша болғым келеді.	5471	Когда я вырасту, я хочу стать королём.
1358788	Бұл контекстіге байланысты.	5467	Это зависит от контекста.
1358800	Мен тек айтым отырмын!	5477	Я всего лишь говорю!
1358811	Уақытта әрқашан да табуға болады.	5492	Время всегда можно найти.
1358817	Дәл солай.	5490	Так оно и есть.
1358822	Қанша жақын достарың бар?	5488	Сколько у тебя близких друзей?
1358829	Неге сұрап тұрсың?	5502	Почему ты спрашиваешь?
1358835	Бұл қызық.	5513	Это интересно.
1358839	Адамдар мәңгі өмір сүре алмайды.	5510	Люди не могут жить вечно.
1358843	Сен түсінбейтін проблема бар.	5524	Есть проблема, которую ты не понимаешь.
1358851	Бұл маған ұнаған жоқ.	5520	Мне это не нравилось.
1358859	Бұл маңызды емес.	5519	Это не важно.
1358871	Не айтқың келіп тұрғаныңды түсініп тұрған жоқпын.	5542	Я не понимаю, что ты имеешь в виду.
1358872	Не болып қалды?	5539	Что случилось?
1358874	Түсіндіргеніңе рахмет.	5537	Спасибо за объяснение.
1358877	Ешкім білмейтін болады.	5555	Никто не узнает.
1358882	Енді не істерімді білмеймін.	5576	Я уже не знаю, что делать.
1358884	Сонша көп күткім келмейді.	5572	Я не хочу ждать так долго.
1358887	Мен сені жақсы көрем.	5568	Я люблю тебя!
1358888	Мен сені сүйемін.	5568	Я люблю тебя!
1358894	Мені ешкім түсінбейді.	5614	Никто меня не понимает.
1358897	Мен жапонша сөйлей алмаймын.	5612	Я не говорю по-японски.
1358904	"Мысық?" - деп сұрады қарт адам.	5626	"Кошка?" - спросил пожилой мужчина.
1358908	Өтінем, жыламашы.	5620	Пожалуйста, не плачь.
1358910	Мүмкін емес!	5619	Не может быть!
1358918	Бұл маған өте ұнайды.	5634	Мне это очень нравится.
1358918	Бұл маған өте ұнайды.	1517319	Это мне очень нравится.
1358920	Менің атым Джек.	5633	Меня зовут Джек.
1358923	Менің есімім Джек.	5633	Меня зовут Джек.
1358927	Мектепке барғым келмейді.	5654	Я не хочу идти в школу.
1358931	Сенікі дұрыс.	5650	Ты прав.
1358933	Дұрыс айтасың.	5650	Ты прав.
1358947	Олар бізден қағазбен жасайтын барлық жұмысты тартып алды.	437395	Они отобрали у нас всю бумажную работу.
1358954	Қазір тамақ жоқ.	438586	Сейчас нету еды.
1358959	Жоғары білім сапасы ең жоғары халықаралық талаптарға сәйкес болуы тиіс.	438581	Качество высшего образования должно отвечать самым высоким международным требованиям.
1358969	Неліктен?	694104	Почему?
1485959	Мен дүкенге барып жатырмын.	1485952	Я иду в магазин.
1496122	Маған аудармашы керек.	1389779	Мне нужен переводчик.
1517242	Ештен кеш жақсы.	414464	Лучше поздно, чем никогда.
1517271	Жарқырағанның бәрі алтын емес.	381304	Не всё то золото, что блестит.
1517271	Жарқырағанның бәрі алтын емес.	1517274	Не все золото, что блестит.
1517367	Басқа пәле тілден.	1517368	Язык мой - враг мой.
1517371	Білімі жоқ ұл – жұпары жоқ гүл.	1517373	Человек без знаний - всё равно что цветок без запаха.
1517376	Тазалық - денсаулық кепілі.	1517382	Чистота - залог здоровья.
1517391	Қайырлы күн!	1517389	Добрый день!
1517404	Қазанда метро бар.	404359	В Казани есть метро.
1517421	Әкем - ағылшын тілі мұғалімі.	1516241	Мой папа - учитель английского языка.
1517424	Бір, үш және бес - тақ сандар.	385746	Один, три и пять — это нечётные числа.
1517444	Менде бір аға және екі қарындас бар.	424937	У меня один старший брат и две младшие сестры.
1517447	Менде бір аға және екі сіңлі бар.	424937	У меня один старший брат и две младшие сестры.
1518117	Біздің халқымызға ең керегі - бірлік, ұлтаралық татулық пен саяси тұрақтылық.	1518118	Самое необходимое для нашего народа - единство, межнациональное согласие и политическая стабильность.
1518377	Полиция оқиға туралы бізге мәлімет берді.	902759	Полиция информировала нас о происшествии.
1518381	Полиция оқиға туралы бізге хабарлады.	902759	Полиция информировала нас о происшествии.
1518392	Дүйсенбі – ауыр күн.	1518393	Понедельник - день тяжёлый.
1518471	Бiзде қаңтарда қар ұшқындап тұрады.	337615	У нас в январе идёт снег.
1518472	Жылдың бiрiншi айы - қаңтар.	467757	Первый месяц года - январь.
1518473	Бүгiн екiншi қаңтар.	826404	Сегодня второе января.
1518477	Қаңтар, ақпан, наурыз, сәуiр, мамыр, маусым, шiлде, тамыз, қыркүйек, қазан, қараша және желтоқсан жылда он екi айларын құрайды.	1398135	Январь, февраль, март, апрель, май, июнь, июль, август, сентябрь, октябрь, ноябрь и декабрь составляют двенадцать месяцев в году.
1518486	Аш бала тоқ баламен ойнамайды.	1518487	Голодный ребёнок с сытым не играет.
1518822	Жұмыс тәулік бойы істеледі.	1518823	Работа идёт круглосуточно.
1519680	АҚШ-та әскери ұшақ тұрғын үйге құлады	1519677	В США военный самолёт упал на жилой дом.
1519694	Бүгін Дүйсенбі.	407793	Сегодня понедельник.
1519727	Менде электрогитара бар.	1519726	У меня есть электрогитара.
1520140	Қазақ тілі - ана тілім.	1520142	Казахский язык - мой родной язык.
1520144	Мен Шымкентте тұрамын.	1520147	Я живу в Шымкенте.
1520169	Мен құрылысшымын.	1520170	Я - строитель.
1520173	Сен қайда барасың?	1520174	Ты куда идёшь?
1520175	Сіз қашан базарға барасыз?	1520176	Вы на базар когда пойдёте?
1520200	Мен білмеймін.	414650	Я не знаю.
1520204	Сен мені тыңдайсың ба?	1444703	Ты меня слушаешь?
1520206	Сіз оны білесіз бе?	639264	Вы его знаете?
1520206	Сіз оны білесіз бе?	1520208	Вы знаете его?
1520209	Ол қайда жұмыс істейді?	1520210	Он где работает?
1520209	Ол қайда жұмыс істейді?	2734717	Где она работает?
1520212	Емтиханға дайындалап отырмын.	1520213	Я готовлюсь к экзамену.
1520214	Ол спортпен шұғылданады.	1520215	Он занимается спортом.
1520216	Мен кітаптарымды жазамын.	1520217	Я пишу книги.
1520218	Менің әйелім "Арзан" дүкенінде сатушы болып жұмыс істейді.	1520219	Моя жена работает продавщицей в магазине "Арзан".
1520220	Сізге жәрдем беруге бола ма?	1520221	Я могу Вам помочь чем-нибудь?
1520237	Ертең тіпті ешқайда бармаймын.	1520238	Завтра я вообще никуда не пойду.
1520239	Мен үйімде қаламын.	1434123	Я останусь дома.
1520242	Бұл маған ұнап тұр.	1520244	Мне это нравится.
1520908	Інім мектепке кетті.	1520910	Мой младший брат ушёл в школу.
1520913	Шешем зауытта істейді.	1520914	Моя мама работает на заводе.
1520916	Бүгін күн ашық.	1520917	Сегодня ясный день.
1520916	Бүгін күн ашық.	1520921	Сегодня ясная погода.
1520918	Күн бүркіп тұр.	1520919	Идёт мелкий дождь.
1520922	Пойыз жай жүреспін кетті.	1520923	Поезд поехал тихим ходом.
1520926	Олар мейманханаға жайғасты.	1520925	Они расположились в гостинице.
1520927	Олар қонақ үйге жайғасты.	1520925	Они расположились в гостинице.
1520928	Біреудің айтуымен жазғым келеді.	1520930	Я хочу писать под диктовку.
1520931	Тастағы ескі жазулары.	1520933	Древние надписи на камне.
1520935	Мен ешқайсысын танымаймын.	1520936	Я никого не знаю.
1520939	Індет көп елді жайлады.	1520940	Эпидемия распространилась на многие страны.
1520943	Ешқандай менің досым емес.	1520944	Никакой он мне не друг.
1520945	Ертеде ұшақтар болмаған.	1520946	В старые времена не было самолётов.
1520947	Қар еріді.	1520948	Снег растаял.
1520951	Көктем келді.	1520952	Весна пришла.
1520957	Мен одан ертерек келдім.	1520960	Я пришёл раньше, чем он.
1520957	Мен одан ертерек келдім.	1520963	Я пришёл раньше него.
1520965	Енді дем алуға болады.	1520966	Теперь можно отдохнуть.
1520967	Бұл әдетке енді.	1520968	Это вошло в привычку.
1520970	Ән әуені жағымды естіледі.	1520971	Слышится приятная мелодия.
1520972	Лайым солай болсын.	1520973	Желаю, чтобы всегда было так.
1520974	Сөзінің маңызы жоқ.	1520975	В его словах нет смысла.
1520974	Сөзінің маңызы жоқ.	1520976	Он говорит бестолково.
1520979	Мен осыны ескертуге мәжбүрмін.	1520980	Я вынужден тебя об этом предупредить.
1520984	Ол жұмысқа немқұрайды қарайды.	1520985	Он к работе относится халатно.
1520988	Өмірі оңалып келеді.	1520989	Жизнь налаживается.
1520990	Өлтірдің ғой мені.	1520991	Ты убил меня своим поступком.
1520996	Ол өз міндеттеріне салақ қарады.	1520998	У него было халатное отношение к своим обязанностям.
1521708	Бүгін мен ерте тұрдым.	1521709	Сегодня я рано встал.
1521715	Жалқаудың "ертені" ешқашан таусылмайды.	1521719	У лентяя "завтра" никогда не кончается.
1521725	Біз ескі пәтерде тұрамыз.	1521727	Мы живём в старой квартире.
1521923	Ол саудырлап соғып отыр.	1521925	Он говорит громко и без умолку.
1521927	Жаңбыр саулап құйып тұр.	463358	Дождь льёт как из ведра.
1522986	Аттыға жаяу жолдас болмас.	1522987	Конный пешему не товарищ.
1522991	Отан – елдің анасы, ел – ердің анасы.	1522992	Родина - мать народу, народ - мать джигиту.
1522993	Әркімнің өз жері – жұмақ.	1522994	Каждому его родная земля - рай.
1522996	Туған жердей жер болмас, туған елдей ел болмас.	1522998	Нет земли лучше Родины, нет людей лучше, чем на Родине.
1522999	Ел іші – алтын бесік.	1523000	Родная земля – золотая колыбель.
1523001	Тамшы тас жарады,тіл бас жарады.	1523003	Капля камень расколет, а слово – голову.
1523006	Тіл - кілті көңілдің.	1523008	Язык - ключ к душе человека.
1523010	Өткен күн оралмас, кұнды сөз жоғалмас.	1523011	Прожитый день не вернется, а мудрое слово останется.
1523021	Жақсы сөз жарым ырыс.	1523022	Доброе слово – половина блага.
1523025	Жүздің көркі – көз, ауыз көркі.	1523026	Глаза украшают лицо, уста - слово.
1523028	Жақсы сөз - жан азығы.	1523030	Хорошее слово – душе опора.
1523034	Әкеге қарап ұл өсер.	1523035	Глядя на отца растёт сын.
1523036	Бие көп болса, құлын көп.	1523038	Когда кобылиц много, и жеребят много.
1523040	Ақшада көз жоқ.	1523041	У денег глаз нет.
1523044	Алтынды тот баспайды.	1523046	Золото не ржавеет.
1523047	Ақша ашпайтын құлып жоқ.	1523049	Нет того замка, который бы устоял против денег.
1523051	Қалтасында тиыны жоқ, түйенің тісін ашып көреді.	1523052	В кармане ни гроша, а сам заглядывает в зубы верблюда.
1523055	Базар ақшалыға базар, ақшасызға назар.	1523056	Базар с деньгами – базар, а без денег какой базар.
1523057	Жақсы әйел жаман еркекті хан қылады.	1523058	Хорошая женщина и плохого мужика ханом сделает.
1523060	Балалы үй - базар, баласыз үй - мазар.	1523062	Дом полный детей - как базар, дом без детей - тих как могила.
1523064	Досты періште қосады, құданы Құдай қосады.	1523066	С другом сводит ангел, со сватом сводит сам Бог.
1523068	Жеті рет өлшеп, бір рет кес.	548116	Семь раз отмерь, один раз отрежь.
1523074	Еңбектің көзін тапқан, байлықтың өзін табады.	1523075	Кто найдёт источник труда, тот найдёт и само богатство.
1523077	Бір жылға қоян терісі де шыдайды.	1523078	Один год и заячья шкура выдержит.
1523080	Әйелдің ақылы - көркінде, еркектің көркі - ақылында.	1523082	Ум женщины - в её красоте, красота мужчины - в его уме.
1526942	Ханымдар мен мырзалар!	1526943	Дамы и господа!
1526949	Осакада қар жауып тұрды.	1526798	В Осаке шёл снег.
1527211	Жыланның уы басында болады, бейғамның жауы қасында болады.	1527212	Яд змеи - в голове, враг ротозея - рядом с ним.
1527229	Үй тар, сырт қар.	1527230	В доме тесно, на дворе - снег.
1527231	Мен тіпті сені ашуланар деп ойлаған жоқ едім.	1527232	Я даже и не думал, что ты рассердишься.
1527239	Олар соғыста қаза болғандарды әскери дәстүр бойынша қойып еді.	1527243	Погибших в бою они похоронили по военной традиции.
1527245	Ол көре қойды.	1527249	Он заметил сразу же.
1527254	Ол жұдырықпен қойып жіберді.	1527258	Он ударил кулаком.
1527264	Ол бар қымызды қотарып ішіп қойды.	1527265	Он залпом выпил весь кумыс.
1527269	Тау тауға қосылмайды, адам адамға қосылады.	1527272	Гора с горой не сходится, а человек с человеком сходится.
1527275	Оның пікіріне мен де қосыламын.	1527280	Я тоже присоединяюсь к его мнению.
1527286	Қорыққанға қос көрінеді.	1188686	У страха глаза велики.
1527296	Көз қорқақ, қол батыр.	652057	Глаза боятся — руки делают.
1527302	Ол қорқуды білмейді.	1527303	Он не знает страха.
1527302	Ол қорқуды білмейді.	1527304	Он не ведает страха.
1527306	Ол жерді қорыс қылып қазды.	1527308	Он разворотил землю.
1527310	Ол мыс қорытады.	1527312	Он плавит медь.
1527319	Шөбі қозғама.	416643	Не трогай траву.
1527322	Қозғама.	1017057	Не трогай.
1527325	Гүлдерді қозғама.	1058895	Не трогай цветы.
1527330	Ол уәдесінде тұрмайтын адам екен.	1527332	Он, оказывается, не держит своего слова.
1527336	Мен сөзімде тұрдым.	1527339	Я сдержал своё слово.
1527342	Қоғамдық сананы қоғамдық тұрмыс билейді.	1527344	Общественное бытие определяет общественное сознание.
1527348	Ол осы үйдің тұтқасы еді.	1527349	Он был опорой этой семьи.
1527352	Арамзаның құйрығы бір тұтам.	659207	Шила в мешке не утаишь.
1527355	Сазда тұтқырлық қасиет бар.	1527358	Глина обладает свойством вязкости.
1527364	Ертеңнен бері дәм татқаным жоқ.	1527365	Я с утра ничего не ел.
1527366	Қымыз татып кетіпті.	1527367	Кумыс испортился.
1527372	Ол айына қанша табады?	1527374	Он сколько зарабатывает за месяц?
1527377	Бүркітімді құсбегіне сынатайын деп едім.	1527378	Я хотел показать своего беркута для оценки его способностей тренеру ловчих птиц.
1527381	Ол сыланып-сыйпанады да жүреді.	1527382	Она только тем и занята, что прихорашивается.
1527383	Біреу үйге сылаң етіп кіріп келді.	1527384	Кто-то внезапно проник в дом.
1527385	Сиырды суалту керек.	1527386	Надо отнять телёнка от коровы.
1527387	Аяғым суланды.	1527388	Я намочил себе ноги.
1527392	Ол суырыла сөйледі.	1527393	Он говорит без запинки.
1527395	Мемлекет мүлкіне қол сұқпа!	1527397	Не разворовывай государственное имущество!
1527400	Сұқ семірмес, ұры байымас.	1527402	Попрошайке не жиреть, вору - не разбогатеть.
1527404	Көзінің сұғы өтіп кетті.	1527406	Его взгляд произвёл неприятное ощущение.
1527409	Түйеше сораптама.	1527411	Не пей как верблюд.
1527412	Ол қонаққа қой сойды.	1527413	Он для гостя барана зарезал.
1527416	Ол тек менен ғана сескенеді.	1527417	Он боится только меня.
1528111	Ақпараттық технологиялар саласында жұмыс істейтін мамандар қажет.	1528112	Требуются специалисты в области информационных технологий.
1528118	Назарларыңызға рақмет.	1485875	Спасибо за внимание.
1528123	Құдайға шүкір.	395173	Слава богу.
1528466	Көлді жел қозғайды, ойды сөз қозғайды.	1528471	Ветер приводит в движение озеро, а слово - мысль.
1528642	Ешбіреуің сабаққа кешікпеңдер.	1528645	Пусть никто из Вас не опаздывает на занятия.
1528648	Ол есеп шығарады.	1528650	Он решает задачу.
1528656	Ол атасына еріп, қалаға кетті.	1528660	Он вместе с дедушкой поехал в город.
1528663	Ол маған ерік берді.	1528665	Он дал мне возможность.
1528669	Мен оған екі дүркін айттым.	1528671	Я ему два раза говорил.
1528678	Жоқ нәрсеге егеспей-ақ қойыңдар.	1528683	Незачем вам из-за пустяка пререкаться друг с другом.
1528687	Егіл-тегіл болып жылады.	1528689	Она сильно и долго плакала.
1528694	Егіншілер даладан кешке қайтады.	1528697	Пахари с поля возвращаются вечером.
1528701	Маған бұл кітап өте ділгер болып тұр.	1528703	Мне очень нужна эта книга.
1528704	Отқа түсетін көбелектей ебелектеме.	1528706	Не лети как бабочка на свет.
1528708	Мен оны көруге ділгермін.	1528709	Я очень желаю её увидеть.
1528711	Бөлменің бұрыш-бұрышы дымнан көгеріп кетіпті.	1528714	На углах комнаты из-за сырости появилась плесень.
1528711	Бөлменің бұрыш-бұрышы дымнан көгеріп кетіпті.	2427097	На углах комнаты появилась плесень от сырости.
1528715	Өткінші жаңбыр жерді дымдап кетті.	1528716	Кратковременный дождь увлажнил землю.
1528722	Көзі добалдай болып ісіп кетіпті.	1528724	Его глаза сильно распухли.
1528731	Дәтім шыдамайды.	1528732	У меня не хватает терпения.
1528772	Төленген сома қайтарылмайды.	1528773	Оплаченная сумма не возвращается.
1528774	Былқ еткізбеді.	1528775	Он не дал возможности пошевелиться.
1528776	Ол аузынан сөзі түскен былжыр.	1528777	Он не может сказать ничего вразумительного.
1528778	Аяғымның асты былқылдап кетті.	1528779	Я под своими ногами чувствую трясину.
1528780	Тісім былқылдап тұр.	1528781	У меня зуб шатается.
1528782	Олар бүктеп кетті ғой.	442087	Они действительно победили.
1528783	Күннің батысынан қара бұлт шықты.	1528784	На западе сгущались чёрные тучи.
1528785	Ол жұмысты бұлжытпай орындады.	1528786	Он точно в срок выполнил свою работу.
1528787	Атым бұлтарғанда, құлап қала жаздадым.	1528788	Мой конь так круто повернул, что я чуть не упал.
1528789	Біреудің пікірін бұрмалама.	1528790	Не искажай чьих-либо мыслей.
1528791	Жаман хабарлардан оның беті бозарыңқы тартқан.	446996	Она побледнела от плохих вестей.
1528793	Бейқам отыруға болмайды.	1528795	Нельзя быть беспечным.
1528797	Ауруға шыдамай түнімен безілдеп шықты.	1528798	Он всю ночь стонал от сильной боли.
1528799	Ол тамақтан безді.	1528800	Она потеряла аппетит.
1528801	Калоштың табанының бедері қарда айқын көрініп тұр.	1528804	Отпечаток узора галош был отчётливо виден на снегу.
1528806	Көлдің суы бауырлап қапты.	1528807	Вода в озере промёрзла до дна.
1528812	Ол аяғын басты.	1528813	Он встал на ноги.
1528814	Баланың жылауы басылды.	1528815	Ребёнок перестал плакать и успокоился.
1528817	Бас көтерген екі баласы бар.	1528818	У него два взрослых сына.
1529636	Ол допты торға түсірді.	1529637	Он попал мячом в сетку.
1529638	Тыңдаңыздар!	1529503	Слушайте!
1529641	Тыңда!	2771278	Слушай!
1529644	Менің әжем аурады.	1529490	Моя бабушка болеет.
1529647	Аяқ киім маған шақ келді.	1529649	Обувь пришлась мне впору.
1529651	Басқышқа мұз қатып қалыпты.	1529652	Лёд застыл на ступеньках.
1529655	Біреудің ыңқылдағанын естігім келмейді.	1529656	Не могу слышать чьих-либо стонов.
1529658	Бірте-бірте аспан ашыла бастады.	1529659	Понемногу небо стало проясняться.
1529663	Американдық зерттеушілер көк шайдың адам терісінің өліп бара жатқан клеткаларын тірілтетінін анықтады.	1529664	Американские исследователи выяснили, что зелёный чай восстанавливает мёртвые клетки кожного покрова человека.
1529668	Дәнді дақылдарды жаппай себу басталды.	1529669	Начался массовый посев зерновых культур.
1529805	Амалын тапқан қырғыннан да аман шығады.	1529806	Кто проявляет находчивость, тот из битвы выходит невредимым.
1529807	Ауа райы туралы оның болжамы ақталды.	1529808	Его предсказания о погоде сбылись.
1529811	Баласының хатын анасы бірнеше рет қайталап оқып шықты.	1529812	Мать несколько раз перечитала письмо сына.
1529813	Дүние мен оның заңдылығын танып білуге болады.	1529815	Мир и его закономерности вполне познаваемы.
1529991	Барлығы керісінше болып шықты.	1529992	Всё получилось наоборот.
1529993	Ең бастысы - ерліктен таймау.	1529994	Главное - не терять мужества.
1529999	Оның жаңалығы ең анық мәліметтерден.	1530000	Его новость из самых достоверных источников.
1530001	Енді осы арадан қала алыс емес.	1530002	Теперь отсюда уже недалеко до города.
1530006	Ер бір рет өледі, қорқақ мың рет өледі.	1530007	Герой умирает один раз, а трус - тысячу.
1531551	Тараптардың шарт бойынша реттелмеген дауларын Қазақстан Республикасының соттары Қазақстан Республикасының заңнамасына сәйкес қарайды.	1531553	Неурегулированные споры сторон по договору рассматриваются судами Республики Казахстан в соответствии с законодательством Республики Казахстан.
1531554	Тараптар осы шарт бойынша өз міндеттемелерін толық орындағанша шарт қолданыста болады.	1531555	Договор действует до полного выполнения сторонами своих обязательств по настоящему договору.
1531560	Шарт тараптардың өзара келісуі бойынша жазбаша түрде, Қазақстан Республикасының заңдарында тікелей айқындалмаған және енгізілген толықтыру Қазақстан Республикасының заңдарына қайшы келмейтін ережелер бойынша ғана өзгертіледі және толықтырылады.	1531562	Договор изменяется и дополняется по взаимному согласию сторон, в письменном виде, только по тем положениям, которые прямо не определены законодательством Республики Казахстан и внесение которых не будет противоречить законодательству Республики Казахстан.
1533095	Шарт бойынша қабылдаған міндеттемелерін орындамағаны немесе тиісінше орындамағаны үшін тараптар шартта және Қазақстан Республикасының заңдарында белгіленген тәртіппен жауапкершілік көтереді.	1533097	За неисполнение или ненадлежащее исполнение обязательств, принятых по договору, стороны несут ответственность в порядке, установленном договором и законодательством Республики Казахстан.
1533125	Келесі аялдама – Жеңіс даңғылы.	1533128	Следующая остановка - проспект Победы.
1533144	Қарттарға орын берейік, жастар!	1533146	Молодёжь, уступайте место пожилым людям!
1533454	Банкноттарды қолдан жасау заңмен қудаланады.	1533456	Подделка банкнот преследуется по закону.
1533458	Ол маусымда Голландиядан қайтып келді.	1533429	Он вернулся из Голландии в июне.
1533869	Ол Токиода тұрады.	782831	Он живет в Токио.
1533870	Лашын - аң алатын құстың бір түрі.	1533871	Сапсан - один из видов ловчих птиц.
1533877	Лашын – сұңқар тұқымдасына жататын жыртқыш құс.	1533880	Сапсан — хищная птица из семейства соколиных.
1533885	Лашын Қазақстанның «Қызыл кітабына» енгізілген.	1533889	Сапсан занесён в "Красную Книгу" Казахстана.
1533894	Әлемдегі ең кішкентай акула - Тынық мұхитындағы пигмей-акуласы.	1533904	Самая маленькая в мире акула - тихоокеанская акула-пигмей.
1533907	Қазақстан Республикасы - көп ұлтты мемлекет.	1533908	Республика Казахстан - многонациональное государство.
1533910	Ол басқа мәселеге көшті.	1533911	Он перешёл к другому вопросу.
1533940	Бақыттың кілті достықта, достықтың кілті халықта.	1533944	Ключ к счастью - в дружбе, ключ к дружбе - в народе.
1533959	Ол әкесіне тартқан.	1533960	Он уродился в своего отца.
1533963	Игілікті істен тартынба!	1533964	Не отказывайся от благородного дела!
1533966	Ол тыраш адам ғой, жоқтығын білдірмейді.	1533967	Он такой человек, который никогда ни в чём не откажет.
1533968	Оның сөзі тыңдалмады.	1533969	На его слова никто не обратил внимания.
1533970	Үсті-басына кір жуытпайтын тыраш кісі.	1533971	Он чистоплотный и аккуратный человек.
1533970	Үсті-басына кір жуытпайтын тыраш кісі.	1533972	Он очень порядочный человек.
1533973	Қарап отырғанша тыпырлап қал.	1533976	Чем сидеть сложа руки, лучше предпринимать что-нибудь.
1533977	Бала жарасын тырнап тастапты.	1533978	Ребёнок расковырял свою ранку.
1533982	Оның маңдайындаңы тыртысы көбейіңқіреген.	1533984	На лбу у него стало больше морщин.
1533994	Көтірілісшілер байдың ат-айғырларын тізіп алды.	1533995	Повстанцы отобрали коней богача.
1533999	Жыл құсы тізбектеліп қайтып жатыр.	1534000	Перелётные птицы прилетают стаями.
1534003	Көзің ауырса - қолыңды тый, ішің ауырса - тамағыңды тый.	1534007	Если болят глаза - попридержи руку, если болит живот - воздержись от еды.
1534010	Тігінші киім тігеді.	1534011	Портной шьёт одежду.
1534014	Дәрігер жарадан аққан қанды тез тыйды.	1534019	Доктор быстро приостановил кровь из раны.
1534022	Бұл - тіке тартылған сызық.	1534023	Это - вертикально проведённая линия.
1534025	Күрек тістері сойдиып тұрады.	1534026	У него выступают передние зубы.
1534028	Темірді қызғанда соқ.	405009	Куй железо, пока горячо.
