id	sentence	id_tr	sentence_tr
3988762	Zəhmət olmasa bu cümləni silin.	1369423	Пожалуйста, удалите это предложение.
3988780	Mən səninlə qalmaq istəyirəm.	3514713	А я хочу остаться с тобой.
3988869	Sənə təcili yardım lazımdır?	3699037	Тебе нужна скорая помощь?
3988880	Mən Tomu müdafiə edəcəm.	3988876	Я буду защищать Тома.
3988882	Buqələmun rəng dəyişdirir.	3988879	Хамелеон меняет цвет.
3988892	Səndə sonuncu versiya var?	2746714	У тебя есть последняя версия?
3988895	Bu mənim anama hədiyyə etmək istədiyim kitabdır.	3654632	Это книга, которую я хочу подарить своей матери.
3988914	Mənim üçün darıxmayacaqsan.	3036393	Ты не будешь по мне скучать.
3988964	Toma de ki, gəlirəm.	3467956	Скажи Тому, что я еду.
3988976	Sən suala cavab verməlisən.	1473722	Ты должен ответить на вопрос.
3989008	Tom hazırlaşır.	3124536	Том готовится.
3989024	Sən böyük səhv edirsən.	2409070	Ты совершаешь большую ошибку.
3989070	Sən bunu bilmirdin?	380992	Ты этого не знал?
3989073	Onlar çoxdandır bir-birlərini tanıyırlar.	3864683	Они очень давно друг друга знают.
3989143	Sən çox arıqsan.	2509123	Ты слишком худой.
3989147	Onlara qoşulmaq istəyirsən?	2636792	Ты хочешь присоединиться к ним?
3989183	Onu indi görmək istəyirsən?	3989181	Хочешь видеть его сейчас?
3989188	Sən haqlı idin.	2477879	Ты был прав.
3989195	O ağır yaralanmışdı.	2293888	Он был тяжело ранен.
3989957	Sən buddistsən?	1502375	Ты буддист?
3989973	Səmaya bax.	3213951	Посмотри на небо.
3989973	Səmaya bax.	3628573	Взгляни на небо.
3989978	Sən ondan daha gözəlsən.	2900597	Ты красивее её.
3990023	Kitabı ört.	417268	Закройте книгу.
3990051	Ağlama. Hər şey yaxşı olacaq.	2503993	Не плачь. Всё будет хорошо.
3990100	Burada ingilis dilində danışılmalıdır.	885048	Здесь надо говорить по-английски.
3990132	Bu qapıları aç!	2517592	Открой эти двери.
3990450	Sən Toma daha nə dedin?	3757996	Что ты ещё сказал Тому?
3990452	Bu sənin evindir.	2649398	Это твой дом.
3990498	Mən onu heç yerdə tapmadım.	1939062	Я его нигде не нашёл.
3990503	Sən necə ölmək istəyirsən?	3592661	Как ты хочешь умереть?
3990557	Hamı sizi sevir.	3990507	Все вас любят.
3990560	Sən mən deyilsən.	3990554	Ты не я.
3990611	Eşşəklər dözümlü heyvanlardır.	1682112	Ослы - выносливые животные.
3990613	Siz baxmırsınız.	3990562	Вы не смотрите.
3990940	Tom sizə etibar etmir.	3508629	Том вам не доверяет.
3990942	Tom sənə etibar etmir.	3508628	Том тебе не доверяет.
3990987	Mən, əslində, iş axtarıram	3801248	Я в самом деле ищу работу.
3991009	Mən sənə baxmırdım.	2749355	Я на тебя не смотрел.
3991010	Mən sizə baxmırdım.	2749455	Я на вас не смотрел.
3991047	Yox, sən başa düşmürsən.	3495971	Нет, ты не понимаешь.
3991048	Xeyr, siz başa düşmürsünüz.	3495970	Нет, вы не понимаете.
3991164	İspaniyanı Afrikadan Cəbəllüttariq boğazı ayırır.	3629967	Испанию от Африки отделяет Гибралтарский пролив.
3991168	Sən hələ də Şotlandiyadasan?	1971720	Ты всё ещё в Шотландии?
3994734	Mən başa düşdüm ki, mənə kömək lazımdır.	3102842	Я понял, что мне нужна помощь.
3994836	Sən, sadəcə, cəhd etmirsən.	3994824	Ты просто не пытаешься.
3994882	İndi dayanma.	2589957	Не останавливайся сейчас.
3994886	Toma deyin ki, mənim ayağım sınıb.	3994881	Скажите Тому, что у меня сломана нога.
3994933	Ağzını yum və öz otağına get!	2900920	Закрой рот и иди в свою комнату!
3994964	Mən sənin sözlərini başa düşürəm.	2656233	Я понимаю твои слова.
4000844	O sənə nə dedi?	3614306	Что она тебе сказала?
3989921	Müharibə dörd il çəkmişdi.	1775347	Война продолжалась четыре года.
4076539	Mən çox şadam.	3690878	Я очень рада.
4076542	Prezidentin nitqi haqqında nə düşünürsünüz?	2036052	Что вы думаете о речи президента?
4076547	Dünyanın sonu yaxınlaşır.	3710245	Приближается конец света.
4076574	Bu avtobus mənim evimin qabağında dayanır.	4076564	Этот автобус останавливается перед моим домом.
4076578	Mən bunu öz bildiyim kimi edəcəm.	3559559	Я сделаю это по-своему.
4076583	Sən hamını tanıyırsan.	2521304	Ты всех знаешь.
4090270	Sənin üç lüğətin var.	2423501	У тебя есть три словаря.
4090463	Fransa Qərbi Avropada yerləşir.	1518696	Франция находится в Западной Европе.
4090484	O üç dəfə Fransada olub.	469906	Он был во Франции три раза.
4097402	Tədris ili aprelin onu başlayır.	614506	Учебный год начинается 10 апреля.
4099195	Pişiyi tapın!	2724200	Найдите кошку.
4099243	Onlar sizin adınızı bilirlər.	3337878	Они знают Ваше имя.
4100847	Mən sənə inanmaq istəyirəm.	3638133	Я хочу верить тебе.
4000884	Sən Sankt Peterburqda yaşayırsan.	3017537	Ты живёшь в Санкт-Петербурге.
4100965	Səni eşidirəm amma görmürəm.	419401	Я тебя слышу, но не вижу.
4100988	Ağlama!	3488456	Не плачь!
4101001	Sən daha mənim dostum deyilsən.	1947110	Ты мне больше не друг.
4101002	Siz daha mənim dostum deyilsiniz.	2832920	Вы мне больше не друг.
4101008	Nə qədər istəyirsən?	3027660	Сколько ты хочешь?
4101009	Nə qədər istəyirsiniz?	3027654	Сколько Вы хотите?
4106830	Astrologiyaya inanırsan?	2308549	Ты веришь в астрологию?
4106907	Sən harda yaşayırsan?	692671	Где ты живёшь?
4106913	Sənin adın nədir?	370366	Как тебя зовут?
4107008	Mən bunu sifariş etməmişəm.	3468943	Я не заказывал этого.
4107134	Sabah gələ bilərsiniz?	613537	Вы можете прийти завтра?
4108697	Mən hələ yatmaq istəmirəm.	4064076	Я ещё не хочу идти спать.
4108698	Ona inanmayın!	2339649	Не верьте ему!
4108701	Ona inanma!	2339633	Не верь ему!
4108745	Ona kömək lazımdır.	1643253	Ей нужна помощь.
4108750	Mən üzümü soyuq suyla yudum.	3552067	Я мыл лицо холодной водой.
4108790	Siz hansı gün doğulmusunuz?	2012237	В какой день вы родились?
4108793	Sən hansı gün doğulmusan?	2012238	В какой день ты родился?
4108843	Biz özünü müdafiə edə bilməyənlərə kömək etməliyik.	3044966	Мы должны помочь тем, кто не может себя защитить.
4109123	Gəl voleybol oynayaq.	2622788	Давай сыграем в волейбол.
4109135	Afərin!	1507448	Молодец!
4109138	Mən tək getməliyəm.	3044679	Я должен пойти один.
4109170	O ingiliscə danışmır.	2555044	Он не говорит по-английски.
4109203	Mən ingilis dilinə üstünlük verirəm.	500637	Я предпочитаю английский.
4109214	Onun sözləri xətrimə dəydi.	1259920	Его слова обидели меня.
4109226	Bu cümlədə beş söz var.	2368813	В этом предложении пять слов.
4109231	Bizim şəhərdə tramvay yoxdur.	3114441	В нашем городе нет трамваев.
4110910	O Əlcəzairdə yaşayır?	4110908	Она живёт в Алжире?
4110954	Tom rusca danışa bilir.	2622852	Том умеет говорить по-русски.
4116166	Bir dəqiqə gözləyin!	3286700	Подождите минутку!
4116184	Hər şey sənin həyatını necə yaşamaq istədiyindən asılıdır.	2322077	Всё зависит от того, как ты хочешь прожить свою жизнь.
4116207	Düşünürəm ki, o haqlıdır.	622045	Я думаю, что он прав.
4116339	Mən qısqanmıram.	2402409	Я не ревную.
4116341	Tom gecə növbəsində işləyir.	3438566	Том работает в ночную смену.
4116359	Tibb bacısı uşağı necə yedizdirmək və bələmək lazım olduğunu göstərdi.	4072628	Медсестра показала, как правильно кормить и пеленать ребёнка.
4116374	O yaxşı tennis oynayır.	440031	Он хорошо играет в теннис.
4116377	Bu mənzil çox bahadır.	2600096	Эта квартира слишком дорогая.
4116393	O mənə adını demədi.	3999040	Он не сказал мне, как его зовут.
4116429	Danış!	2241224	Говори!
4118617	Sən hardan bilirsən?	2309951	Откуда ты знаешь?
4118631	Mən səni qorumaq üçün burdayam.	1940678	Я здесь, чтобы тебя защитить.
4119863	Mağaza bugün işləmir.	2900583	Магазин сегодня не работает.
4119888	Xeyr, mən evdə idim.	4006124	Нет, я был дома!
4119899	Bağışla, bilmirdim ki, hələ burdasan.	1946144	Извини, я не знал, что ты ещё тут.
4119931	Ürəyimi qırırsan.	3526998	Ты разбиваешь мне сердце.
4119946	Bu mənim günahımdır, sənin yox.	1490356	Это моя вина, а не твоя.
4119959	Oxu və cavab ver.	3565809	Прочитай и ответь.
4120002	Bilirsən, saat neçədir?	2062563	Ты знаешь, который час?
4120018	Mən bir gecəlik qalmaq istərdim.	374753	Я хотел бы остановиться на одну ночь.
4120025	Yaxşı ki, sən burdasan.	4120020	Хорошо, что ты здесь.
4120026	Mən bununla fəxr etmirəm.	2709407	Я этим не горжусь.
4120057	Sizi aldadıblar.	2962222	Вас обманули.
4123535	Biz səninlə danışmalıyıq.	3184667	Нам надо с тобой поговорить.
4123539	Laboratoriyaya qayıt!	3556399	Возвращайся в лабораторию.
4123544	Ümid edirəm ki, hər şey qaydasındadır.	1498120	Я надеюсь, что всё в порядке.
4142680	Boğuldum.	2795632	Я задыхалась.
4142681	Boğuldu.	1944689	Он задыхался.
4168186	Məktəbə get.	588062	Иди в школу.
4168207	O heç ağlamadı.	3030401	Она совсем не плакала.
4168212	Alisa öz otağında yatır.	2492435	Алиса спит у себя в комнате.
4168213	Mən hələ də sənin səsini eşidirəm.	797220	Я все ещё слышу твой голос.
4170668	Alisa gülümsədi.	576505	Алиса улыбнулась.
4170754	Bu stol altı nəfər üçün nəzərdə tutulub.	2946801	Этот стол рассчитан на шестерых человек.
4174355	Onu görəndə babam haqqında düşünürəm.	4174347	Когда я его вижу, то думаю о моём дедушке.
4174365	Ümidimi itirmişəm.	3496294	Я потерял надежду.
4174371	Hər dəfə səni görəndə öz anam haqqında düşünürəm.	3547035	Каждый раз, когда я тебя вижу, я думаю о твоей матери.
4174414	Bu gün sevgililər günüdür.	1395413	Сегодня День святого Валентина.
4174419	Bu körpə altı aylıqdır.	2519505	Этому ребёнку шесть месяцев.
4174448	Sizdə otellərin siyahısı var?	469608	Есть ли у Вас список отелей?
4174455	Mən onların fikrini soruşmuram.	2671390	Я не спрашиваю их мнения.
4174474	Onun zəngini gözləyirəm.	2620345	Я жду его звонка.
4174541	Mən evdəyəm, Tom.	2853950	Я дома, Том.
4191037	Onlar müəllimdirlər.	2175008	Они учителя.
4191048	Milli çörək yeyir.	3297397	Милли ест хлеб.
4191052	Bu mənim pişiyimdir.	658547	Это мой кот.
4191053	Bu yaxşı dərslikdir.	475478	Это хороший учебник.
4191068	Məşhur olacaqsan.	2734168	Ты станешь известным.
4191097	Sənin oğlun dahidir.	1527315	Твой сын - гений.
4191115	Sənin adını xatırlamıram.	383643	Не помню твоего имени.
4191116	Mənə bir qutu mismar lazımdır.	2508347	Мне нужен ящик гвоздей.
4191125	Heç kim sənin xoşbəxt olmağını istəmir.	1803353	Никто не хочет, чтобы ты был счастлив.
4191129	Biz hamımız birlikdə öləcəyik.	4085252	Мы все умрём вместе.
4191130	Mən Tomdan qorxmuram.	3640361	Я не боюсь Тома.
4191131	Burada heç nə yoxdur.	1945564	Здесь ничего нет.
4191132	Onlar mənə deyiblər.	2671161	Они мне сказали.
4191133	Biz nə ilə kəsirik? - Biz bıçaqla kəsirik.	2382912	Чем мы режем? - Мы режем ножом.
4191134	Gəl problem axtarmayaq.	3332278	Давай не будем искать проблем.
4191188	Bəzi qadınlar əbədi yaşamalıdırlar.	3406855	Некоторые женщины должны жить вечно.
4276346	Bunu yazma!	3070114	Не пиши этого!
4279474	Qaçmağa başla.	2501565	Начинай бежать.
4279478	Mən artıq Amerikada olmuşam.	2594073	Я уже был в Америке.
4279495	Bu söz artıq köhnəlib.	2277186	Это слово уже устарело.
4279498	Siz onu tanıyırsınız.	2521302	Вы её знаете.
4279500	Sən onu tanıyırsan.	2521288	Ты её знаешь.
4279524	Əlbəttə, mən gözləyərəm.	1772809	Конечно, я подожду.
4279566	Sənin nə düşündüyünü bilmək istəyirəm.	4036824	Я хочу знать, что ты думаешь.
4279671	Mənim arvadım var.	3471844	У меня есть жена.
4279678	Biz ona alma veririk.	2221083	Мы даём ему яблоко.
4279705	Çatanda bizə zəng vur.	2737747	Позвони нам, когда доедешь.
4116238	Qız pəncərəni sındırdı.	634845	Девочка разбила окно.
4314624	Biz həkim tapmalıyıq.	4314620	Мы должны найти врача.
4314630	Aydındır.	4314625	А, понятно.
4314644	Sən həkim deyilsən.	2738591	Ты не врач.
4314648	Siz həkim deyilsiniz.	472329	Вы не врач.
4314658	Biz evə piyada qayıtdıq.	3081874	Мы вернулись домой пешком.
4314722	Məşğulsan?	538035	Ты занят?
3986609	Bilmirəm.	414650	Я не знаю.
4314735	Niyə heç kim Toma kömək etmədi?	3360899	Почему никто не помог Тому?
4314736	Biraz gecikmisiniz.	2570138	Вы немного опоздали.
4314737	Mənə yaxın gəlmə!	598947	Не подходи ко мне.
4314764	Məndən qorxursan?	2771651	Ты меня боишься?
4314770	Səncə hədiyyəm onun xoşuna gələcək?	3008689	Думаешь, ему понравится мой подарок?
4314799	Mənim çemodanım hanı?	3253794	Где мой чемодан?
4314811	Qələmin yoxdur?	3957744	У тебя ручки нет?
4314813	Ona pul lazım deyil.	2559481	Ей не нужны деньги.
4321302	Bu tamamilə səhvdir.	2971531	Это совершенно неправильно.
4321328	Mən sizi başa düşdüm.	2300518	Я вас понял.
4321337	Payız mənim xoşuma gəlir.	4231178	Мне нравится осень.
4321344	O iş axtarır.	4068376	Она ищет работу.
4321355	Qəsəbədə klub var?	2386184	Есть ли в посёлке клуб?
4321356	Sizin kolxozda klub var?	2386182	Есть ли в вашем колхозе клуб?
4321357	Nə qədər balıq tutmusunuz?	2364657	Сколько вы поймали рыбы?
4321358	Biz azmarıq?	2333915	Мы не заблудимся?
4321360	Biz nahara dəvət olunmuşuq.	466716	Мы приглашены на обед.
4336673	Tom qatildir.	2634982	Том - убийца.
4336763	Mən parkda gəzirəm.	2313465	Я гуляю в парке.
4336775	Biz səni sevirik.	3052386	Мы тебя любим.
4336885	Tom bizim şəhərə qayıdacaq.	4323642	Он вернётся в наш город.
4336892	Dəmiryolu vağzalı univermağın yaxınlığında yerləşir.	4258759	Железнодорожный вокзал находится вблизи универмага.
4336968	Mənim vətənim bütün dünyadır.	4198608	Моя родина — целый мир.
4337041	Bu problem həmişə aktualdır.	4196933	Эта проблема всегда актуальна.
4337060	Qışda burda soyuq olur.	4231257	Зимой здесь бывает холодно.
4339220	Biz birbirimizə lazımıq.	4314362	Мы нужны друг другу.
4339225	İndi başa düşürük.	4156194	Теперь мы понимаем.
4340633	Mən Merinin xoşuna gəlirəm.	3036282	Я нравлюсь Мэри.
4340745	Yubka yaşıldır.	1335153	Юбка зелёная.
4343041	Məndən nə istəyirlər?	3269133	Чего от меня хотят?
4344057	Tərcümə məsuliyyətli işdir.	2493468	Перевод — дело ответственное.
4344085	Cümlənin sonunda nöqtə qoymağı unutmuşam.	2467903	Я забыл поставить точку в конце предложения.
4407327	Mənim oxuduğum kitab hanı?	2519454	Где книга, которую я читаю?
4407448	Biz səndən heç nə istəmirik.	3451496	Мы ничего от тебя не хотим.
4409419	Bu da qatar!	1889287	А вот и поезд.
4409591	Mənə artıq heç kim lazım deyil.	4409583	Мне уже никто не нужен.
4410943	Onlar balıqları yemlədilər.	3043305	Они кормили рыбок.
4411137	Pet çox boşboğazdır.	3621346	Пэт очень болтлива.
4412868	Bu kitab mənimçün çox çətindir.	4375336	Эта книга слишком сложная для меня.
4412879	Bu sizin otağınızdır?	4412870	Это ваша комната?
4414142	Onun ana dili rus dilidir.	4414089	Её родной язык - русский.
4422229	Onun vaxtı var.	4422230	У него есть время.
3989165	Mən dağlarda böyümüşəm.	3437599	Я вырос в горах.
4510637	Bu yaxşı çaydır.	4510632	Это хороший чай.
4539749	Bu dini telekanaldır.	4539744	Это религиозный телеканал.
4539751	Sakitləş!	741087	Успокойся!
3134337	Süd içirəm.	3132274	Я пью молоко.
3870352	Printerə kağız lazım.	4868869	Для принтера нужна бумага.
4407532	Bu çox qəribə bir heyvandır.	2381538	Это очень странное животное.
4340530	Təkrar biliyin anasıdır.	1803404	Повторение - мать учения.
3085050	Beynəlxalq Qadınlar Gününüz Mübarək Olsun!	4960475	С Восьмым марта!
5336140	Onun ünvanı necədir?	5209588	Какой у него адрес?
5342319	Mən buna layiqəm.	2590161	Я заслужил это.
5342319	Mən buna layiqəm.	2590162	Я заслужила это.
5342319	Mən buna layiqəm.	3090217	Я это заслужил.
5342319	Mən buna layiqəm.	3090231	Я это заслужила.
5342324	Mən buna layiq olacaq nə etdim?	2075815	Чем я это заслужила?
5342325	Mən buna layiq deyiləm.	2783139	Я этого не заслужил.
5342326	Məncə, buna layiqəm.	5236661	Думаю, я это заслужила.
5343297	Zəhmət olmazsa, bu dərmanı gündə iki dəfə, səhər və axşam, yeməkdən sonra, qəbul etməyi unutmayın.	2281533	Пожалуйста, не забывайте принимать это лекарство дважды в день, утром и вечером, после еды.
5343300	O, qanuna riayət etməyin nə qədər vacib olduğunu vurğuladı.	1791213	Он подчеркнул, насколько важно соблюдать закон.
5343304	O, mənə çətinlikləri aşmağa kömək etdi.	1600282	Он помог мне преодолеть трудности.
5343445	O xoşunuza gəldi?	3003488	Он вам понравился?
5343449	Yol elə mənim evimin yanından keçir.	2985474	Дорога проходит как раз около моего дома.
5343450	Siqareti atmaq çətindir.	3390220	Бросить курить трудно.
5343454	Mən onu tanıdım.	4830593	Я его узнал.
5343457	Əlbəttə, mən özümü günhakar hiss edirəm.	4551422	Конечно, я чувствую себя виноватым.
5343458	Bu vətəndaş müharibəsinin qarşısını aldı.	4024984	Это предотвратило гражданскую войну.
5343460	Keniyanın paytaxtı necə adlanır?	2639581	Как называется столица Кении?
5343461	O, dini musiqiyə qulaq asır.	2100241	Она слушает религиозную музыку.
5343462	O, dini musiqi dinləyir.	2100241	Она слушает религиозную музыку.
5343467	Görünür, bu il biz məzuniyyətsiz keçinməli olacağıq.	853179	Похоже, что нам придётся обойтись без отпуска в этом году.
5343469	O, həyat yoldaşı ilə internetdə tanış olub.	777137	Он встретил свою жену в интернете.
5343470	Həyat, alman dilini öyrənmək üçün çox qısadır.	409334	Жизнь слишком коротка, чтобы изучать немецкий.
5343473	Keçən dəfə sizinlə danışıq tərzimə görə üzr istəyirəm.	4898556	Я хочу извиниться за то, как разговаривал с вами в прошлый раз.
5343475	Hanı sizin uşaqlar?	3628758	Где ваши дети?
5343476	Haradadır sizin uşaqlar?	3628758	Где ваши дети?
5343478	O, topu bağda tapdı.	2431749	Она нашла мяч в саду.
5343480	Mən, dayımın gəlişi barədə teleqram aldım.	531464	Я получил телеграмму о приезде моего дяди.
5343481	Mən, əmimin gəlişi barədə teleqram aldım.	531464	Я получил телеграмму о приезде моего дяди.
5362524	Koreyada doğulmuşam.	5362515	Я родилась в Корее.
5342279	O səndən iki yaş böyükdür.	467593	Она на два года старше тебя.
5342279	O səndən iki yaş böyükdür.	1936138	Он на два года старше тебя.
5364693	Əgər qayıdanda çörək alsan, minnətdan olaram.	5144072	Я бы был признателен, если бы ты купил хлеба по дороге назад.
5366724	Sən niyə Yaponiyaya gəldin?	502157	Зачем Вы приехали в Японию?
5366726	Sən nə üçün Yaponiyaya gəldin?	502157	Зачем Вы приехали в Японию?
5367549	Mən qəmgin deyiləm.	4486651	Я не грустный.
5369926	Sən məndən danışırsan?	2109232	Ты обо мне говоришь?
5369929	Sən mənə işarə vurursan?	2507471	Ты на меня намекаешь?
5369931	Sən məni nəzərdə tutursan?	2109233	Ты меня имеешь в виду?
5369934	Siz mənə işarə vurursunuz?	2507468	Вы на меня намекаете?
5416291	Siz doğru seçim etdiniz.	2718162	Вы сделали правильный выбор.
5933512	Sizin neçə yaşınız var?	2347972	Сколько вам лет?
5933517	Bakı Dövlət Universitetində psixologiya oxuyuram.	5933516	Я изучаю психологию в Бакинском государственном университете.
5933520	Mən universitetdə oxuyuram.	3049942	Я учусь в университете.
5933522	Milliyyətiniz nədir?	3077620	Кто вы по национальности?
5933524	Tanış olmağımıza şadam.	426021	Приятно познакомиться.
5933530	Yaxşıyam, çox sağ olun.	5933527	Я в порядке, спасибо вам большое.
5933531	Mən də yaxşıyam.	5933532	Я тоже в порядке.
5933535	Çoxdandır səni görmürəm.	2055702	Я давно тебя не видел.
5998594	Bu hələ heç nədir.	5998541	Это ещё ничего.
5998596	İç qurtar! Biz getməliyik!	5998492	Допивай! Нам надо идти!
5998599	Mən indi sizə kömək etmək üçün heç nə edə bilmərəm.	5998491	Я ничего сейчас не могу сделать, чтобы вам помочь.
5998600	Mən indi sənə kömək etmək üçün heç nə edə bilmərəm.	5998490	Я ничего сейчас не могу сделать, чтобы тебе помочь.
5998601	Mən indi sizə heç nə ilə kömək edə bilmərəm.	5998489	Я ничем не могу вам сейчас помочь.
6016050	O pəncərədir.	6016061	Это окно.
6016066	Onlar pəncərədir.	6016067	Это окна.
2989045	İrana getdim.	6377108	Я поехал в Иран.
4100989	Bu mənim qardaşımdır.	1401078	Это мой брат.
4090175	Almalar haradadır?	1063549	Где яблоки?
7463708	İsrail haqqında nə bilirsiniz)	4628385	Что вы знаете об Израиле?
7790573	Orada dünyalar kadar boş yer var.	1979902	Там пропасть свободных мест.
1897912	Siz necəsiniz?	400924	Как поживаете?
8007246	Yatmalısın.	4600399	Тебе надо лечь.
8497568	Avtovaqzal harada yerləşir?	8497553	Где находится автовокзал?
8775053	Siz ailəniz haqqında hər şeyi bilirsiniz?	8774576	Вы всё знаете о своей семье?
8780148	Lüğət haradadır?	8764349	Где словарь?
8780149	Mənə lüğət satın alın.	8764352	Купите мне словарь.
8780150	Mənə lüğət satın al.	8764351	Купи мне словарь.
8780151	Meri, Toma nə yemədiyini söyləyib.	8766820	Мэри сказала Тому, что она не может есть.
8780153	Mən problemin nə olduğunu tam söyləyə bilmədim.	8766813	Я не мог точно сказать, в чем проблема.
8780157	Tom sorğu-sual üçün içəri gətirildi.	8767607	Том был доставлен на допрос.
8780158	Tom heç vaxt basketbol matçına getməyib.	8767640	Том никогда не был на баскетбольном матче.
8780159	Bu, qürur məsələsidir.	8762341	Это дело чести.
8802351	Toma haraya getmək istədiyini soruşdum.	5517045	Я спросил Тома, куда он хочет поехать.
8802352	Tom da qısqancdır.	5614310	Том тоже ревнует.
8824459	Amerika uzaqdadır.	7919186	Америка далеко.
8781105	Su soyuq deyildir.	5123832	Вода не холодная.
4800998	Bu hansı dildir?	4749476	Какой это язык?
5366763	Qadın cavandır.	5343816	Женщина молодая.
9159961	Valideynlərim bir şeydən şübhələnmədilər.	6466037	Родители ничего не заподозрили.
4001070	Lyublyana Sloveniyanın paytaxtıdır.	2639467	Любляна - столица Словении.
4099199	Mayk pişikləri sevir.	5601093	Майк любит кошек.
4170675	Quşlar uçurlar.	576509	Птицы летают.
4321359	Mağazalar nə vaxt açılır?	2318177	Когда открываются магазины?
10852250	Pomidor yeməyi sevmirəm.	8820795	Я не люблю помидоры.
3989919	Dostlarıma nifrət edirəm!	10235021	Ненавижу своих друзей!
3990445	Bu pulsuzdur.	430377	Это бесплатно.
8802346	O, piano çalmağı özü öyrənib.	11096935	Он самостоятельно научился играть на пианино.
3304167	Yaxşı.Davam edin.	11096936	Хорошо. Продолжайте.
3303571	Qəzetim haradadır?	2144296	Где моя газета?
10315243	Mənə elə kömək lazım deyil.	11096940	Мне не нужна такая помощь.
11096969	Mənə burada lazımsan, yaxşı?	4851881	Ты нужна мне здесь, хорошо?
11096973	Niyə ona zəng edə bilmirsən?	9176382	Почему ты не можешь ей позвонить?
11543838	Rəis, hər şey getdi! Gips çıxarılır, müştəri ayrılır.	2625711	Шеф, всё пропало! Гипс снимают, клиент уезжает.
3990040	Tom və mən yaxşı dostlarıq.	3621315	Мы с Томом хорошие друзья.
11903004	Verilənlər bazamızda belə bir qeyd yoxdur.	11891149	В нашей базе данных такой записи нет.
11903005	Mən Keyt Danmora aşiqəm.	11891143	Я влюблён в Кейт Данмор.
11903006	Keyt gözlərini yumub.	11891136	Кейт закрыла глаза.
11903007	Keyt gözlərini yumdu.	11891136	Кейт закрыла глаза.
11903008	Mənim dostumun adı Keyt Danmordur.	11891140	Мою подругу зовут Кейт Данмор.
11903010	Anam məni öldürəcək.	11890981	Моя мать убьёт меня.
11904900	Keçən gecə yatmamışam.	11891134	Прошлой ночью я не спал.
11904902	Dünən heç də yatmamışam.	11891132	Вчера я вообще не спал.
11904904	Sənə kim dedi ki, mən bəndəyəm?	11890976	Кто тебе сказал, что я раб?
12129119	Xahiş edirəm Tomu tapmağıma kömək edin.	12129058	Пожалуйста, помогите мне найти Тома.
12129120	Xahiş edirəm Tomu tapmağıma kömək et.	12129059	Пожалуйста, помоги мне найти Тома.
